Symbol,Name,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACET,Adicet Bio Inc. Common Stock ,180738765,United States,2018,495244,Health Care,Biotechnology: Pharmaceutical Preparations
ACGL,Arch Capital Group Ltd. Common Stock,33583813058,Bermuda,,1762607,Finance,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,7221118450,Bermuda,,43925,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,8399694777,Bermuda,,54044,Finance,Property-Casualty Insurers
ACHC,Acadia Healthcare Company Inc. Common Stock,6747253761,United States,,831050,Health Care,Medical Specialities
ACHL,Achilles Therapeutics plc American Depositary Shares,33794833,United Kingdom,2021,250943,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHR,Archer Aviation Inc. Class A Common Stock,1208135918,United States,2020,3878598,Industrials,Aerospace
ACHV,Achieve Life Sciences Inc. Common Shares,152421004,United States,,114653,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,Albertsons Companies Inc. Class A Common Stock,11659046888,United States,2020,2911539,Consumer Staples,Food Chains
ACIC,American Coastal Insurance Corporation Common Stock,512888259,United States,,155288,Finance,Property-Casualty Insurers
ACIU,AC Immune SA Common Stock,249978529,Switzerland,2016,113090,Health Care,Biotechnology: Pharmaceutical Preparations
ACIW,ACI Worldwide Inc. Common Stock,3352000554,United States,,376130,Technology,EDP Services
ACLS,Axcelis Technologies Inc. Common Stock,3403845541,United States,2000,410299,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,3007295361,United States,2022,381994,Health Care,Biotechnology: Pharmaceutical Preparations
ACM,AECOM Common Stock,12744041809,United States,2007,1154022,Consumer Discretionary,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,1723490401,United States,2017,1298381,Technology,Industrial Machinery/Components
ACN,Accenture plc Class A Ordinary Shares (Ireland),1.97061E+11,Ireland,2001,2997869,Consumer Discretionary,Business Services
ACNB,ACNB Corporation Common Stock,277528298,United States,,5106,Finance,Major Banks
ACNT,Ascent Industries Co. Common Stock,104285244,United States,,4480,Industrials,Steel/Iron Ore
ACON,Aclarion Inc. Common Stock,168221,United States,2022,183280,Technology,Retail: Computer Software & Peripheral Equipment
ACONW,Aclarion Inc. Warrant,14234,United States,2022,76,Technology,Retail: Computer Software & Peripheral Equipment
ACP,abrdn Income Credit Strategies Fund Common Shares,0,United States,2011,523896,Finance,Investment Managers
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,,United States,,2852,,
ACR,ACRES Commercial Realty Corp. Common Stock,103828466,United States,,19660,Real Estate,Real Estate Investment Trusts
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,,United States,,20325,,
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,,United States,,9901,,
ACRE,Ares Commercial Real Estate Corporation Common Stock,366808412,United States,2012,844542,Real Estate,Real Estate Investment Trusts
ACRS,Aclaris Therapeutics Inc. Common Stock,85819301,United States,2015,1069344,Health Care,Biotechnology: Pharmaceutical Preparations
ACRV,Acrivon Therapeutics Inc. Common Stock,296679449,United States,2022,394270,Health Care, Medicinal Chemicals and Botanical Products 
ACST,Acasti Pharma Inc. Class A Common Stock,31581997,Canada,,21644,Health Care,Biotechnology: Pharmaceutical Preparations
ACT,Enact Holdings Inc. Common Stock,4682570777,United States,2021,136046,Finance,Specialty Insurers
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,494482591,United States,,252988,Miscellaneous,Multi-Sector Companies
ACU,Acme United Corporation. Common Stock,159076528,United States,1988,37026,Consumer Discretionary,Industrial Machinery/Components
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,230886615,United States,2015,20684,Finance,Finance/Investors Services
